"epoch","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"85","1835","1835","1835","10666.85791015625","10663.0185546875","10670.697265625","1835","1835","1835","8060.53134765625","8000.32666015625","8149.95361328125"
"86","1857","1857","1857","10456.75634765625","10310.4404296875","10603.072265625","1857","1857","1857","8102.49833984375","8015.31591796875","8183.6083984375"
"87","1878","1878","1878","10417.81005859375","10215.0791015625","10620.541015625","1878","1878","1878","8118.8765625","8024.65673828125","8244.2861328125"
"88","1900","1900","1900","10320.095703125","10113.970703125","10526.220703125","1900","1900","1900","8056.82001953125","7962.796875","8119.939453125"
"89","1921","1921","1921","10310.39697265625","10241.46484375","10379.3291015625","1921","1921","1921","8034.6365234375","7994.87255859375","8097.376953125"
"90","1942","1942","1942","10265.56787109375","10130.03515625","10401.1005859375","1942","1942","1942","8109.87998046875","8034.6376953125","8229.9560546875"
"91","1964","1964","1964","10369.04345703125","10147.3271484375","10590.759765625","1964","1964","1964","8058.709765625","7989.84375","8110.115234375"
"92","1985","1985","1985","10475.7080078125","10292.0361328125","10659.3798828125","1985","1985","1985","8066.09755859375","7963.97705078125","8208.5205078125"
"93","2006","2006","2006","10262.283203125","10190.6142578125","10333.9521484375","2006","2006","2006","8051.4978515625","7982.54248046875","8158.21533203125"
"94","2028","2028","2028","10398.859375","10214.046875","10583.671875","2028","2028","2028","8053.00703125","7955.19140625","8153.10498046875"
"95","2049","2049","2049","10644.15625","10470.71875","10817.59375","2049","2049","2049","8080.09189453125","7919.20458984375","8177.57958984375"
"96","2070","2070","2070","10799.38623046875","10686.1533203125","10912.619140625","2070","2070","2070","8043.80185546875","7872.96240234375","8270.341796875"
"97","2092","2092","2092","10721.458984375","10662.4072265625","10780.5107421875","2092","2092","2092","8110.22001953125","8009.87939453125","8200.03515625"
"98","2113","2113","2113","10268.91845703125","9941.6513671875","10596.185546875","2113","2113","2113","8101.573828125","7995.330078125","8285.6845703125"
"99","2135","2135","2135","10032.3837890625","9731.4482421875","10333.3193359375","2135","2135","2135","8115.075","7989.14404296875","8171.2353515625"
